Question,A,B,C,D,E,index,Answer,explaination
 Which of the following statements is correct regarding Gaucher disease?,A. Enzyme defect is a deficiency of sphingomyelinase,B. Enzyme defect is a deficiency of glucocerebrosidase,C. Enzyme defect is a deficiency of hexosaminidase A,D. Enzyme defect is a deficiency of glucose-6-phospha - tase,E. Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),52.0,B.  Enzyme defect is a deficiency of,"glucocerebrosidase Gaucher disease is a chronic lysosomal storage dis - ease with hepatosplenomegaly, dyshematopoiesis (sple - nogenic marrow depression, thrombocytopenia, leukopenia, and anemia), and characteristic orthopedic complications. Mental development and nervous system is normal. There is a periodic bone and joint pain, espe - cially in the long bones. Pseudo-osteomyelitic or pseudo arthritic pathologic fractures are usually found in the femur (on radiograph showing an “Erlenmeyer flask deformity”). Demonstration of Gaucher cells in bone marrow aspirates or a cerebroside-beta-glucosidase defect in leukocyte is diagnostic. It is an autosomal recessive disorder due to a defect in glucosylceramidase beta gene (GBA1) coding for enzyme glucocerebrosidase."
 Which of the following medical condition is caused by deficiency of the enzyme hexosaminidase?,A. Tay-Sachs disease,B. Hurler syndrome,C. Fabry disease,D. Pompe disease,E. V on Gierke disease,53.0,A. Tay-Sachs disease,"Tay-Sachs disease is an autosomal recessive GM2 gangliosidosis caused by β-hexosaminidase A (HexA) enzyme deficiency. There is a rapid psychomotor dete - rioration, hypotonia to generalized paralysis and even - tual spasticity, progressive deafness, blindness, seizures. Cherry-red spot is present in the macular region in over 95 % of patients."
" Which of the following is a characteristic of hereditary disorder of multiple cafe au lait spots, skin tumors, skel - etal and neurological signs?",A. Multiple lentigines syndrome,B. McCune-Albright syndrome,C. Acoustic neuroma,D. Neurofibromatosis type 2,E. Neurofibromatosis type 1,54.0,E. Neurofibromatosis type 1,"Neurofibromatosis type 1 (V on Recklinghausen) is a characteristic hereditary disorder of multiple cafe au lait spots, especially on the trunk. Multiple fibromas or neu -rofibromas and subcutaneous growth are present. Frequent neurological or ocular disorders are caused by nerve compression. Skeletal anomalies (congenital pseudarthrosis of the tibia, club foot, dislocation of the hip) may be present. NF-type 1 is an autosomal domi - nant disorder with 100 % penetrance but variable expres - sion. Gene locus is present on 17q11.2."
 Marfan syndrome is an autosomal dominant connective tissue disorder. Which of the following mutation is seen in Marfan syndrome?,A. Fibrillin-1,B. Fibrillin-2,C. P mutation in chromosome 12q,D. DCP mutation in chromosome 15,E. P mutation in chromosome 11 p,55.0,A. Fibrillin-1,"Marfan syndrome is a hereditary disorder with dis - proportionate tall stature mainly due to excessively long extremities, resulting in eunuchoid body proportions, and arachnodactyly. There is muscular hypoplasia and hypotonia due to marked deficit of fatty tissue. Main signs are long, narrow face with high palate, and nar - rowly spaced teeth. Signs of connective tissue weakness include hernias, hyperextensible joints. Dislocation of the lenses is seen in about 75% of the patients. Dislocation of joints, kyphoscoliosis, pes planus, pectus carinatum or excavatum may be present. There may be general dilation of aorta (aortic valve incompetence), dissecting aneurysms. Marfan syndrome is an autosomal dominant disorder. There is a Fibrillin-1 defect. Gene locus is present on 15q21.1."
" Which of the following is a characteristic syndrome of macular hemangiomas, especially of the face, signs of cerebral foci, and mental retardation common?",A. Sturge-Weber syndrome,B. Klippel-Trenaunay-Weber syndrome,C. Beckwith-Wiedemann syndrome,D. Siderosis,E. Dyke-Davidoff-Masson syndrome,56.0,A. Sturge-Weber syndrome,"Sturge-Weber syndrome (Cerebro Cutaneous Angiomatosis Syndrome) is a characteristic syndrome of macular hemangiomas, especially of the face. Port- wine color, nevus flammeus of the face and head is pres - ent preferentially in the trigeminal area, mostly unilateral. Patients may present with focal or general - ized cerebral seizures. Spastic hemiparesis is present contralateral to the side of the angioma. Inherited factors are probably of causal significance. This could be the manifestation of a lethal lesion in the mosaic."
 Duchenne muscular dystrophy (DMD) is a rare muscle disorder. Duchenne muscular dystrophy is inherited as:,A. Mitochondrial DNA,B. Autosomal dominant,C. X-linked recessive,D. X-linked dominant,E. Multifactorial,57.0,C. X-linked recessive,"Duchenne muscular dystrophy is a characteristic hereditary syndrome in males, with onset in childhood of “ascending” muscle atrophy beginning in the pelvis and thigh regions. Main signs are rapid fatigue when climbing stairs, difficulty up from the floor, eventually “climbing up himself’ (Gower sign). There is hyperlor - dosis with protruding abdomen. Pseudohypertrophy (fatty infiltration) especially of the calves, and also of thigh and buttock musculature is present. Ascending degeneration of the musculature starts at the pelvic gir - dle and thighs. Mental retardation is seen in approxi - mately 30% of the children. Marked increased serum creatine kinase activity is present in the initial stages of the process. The gene product, dystrophin is deficient in Duchenne patients. Absence of dystrophin can be shown immunohistologically. Manifestation is between 3 and 5 years of age. It is an X-linked recessive disorder with 65% of patients show deletion mutations."
 A 35-year-old woman has V on Hippel-Lindau disease. The gene implicated in the renal tumor associated with V on Hippel-Lindau disease is located on chromosome:,A. 3p,B. 5q,C. 11p,D. 13q,E. 17q2 Genetic Disorders 11,58.0,A. 3p,"Clear cell carcinoma which typically have a deletion of chromosome 3p, arise from the proximal tubule. In addition to occurring in sporadic disease, clear cell car - cinomas are specifically associated with V on Hippel- Lindau disease."
 A 5-year-old child presents with a history of viral and fungal infections and has calcium of 5.6 mg/dL.  The most likely diagnosis is:,A. Fragile X syndrome,B. X-linked agammaglobulinemia,C. DiGeorge’s syndrome,D. Ehlers-Danlos syndrome (EDS),E. Tay-Sachs disease,59.0,C. DiGeorge’s syndrome,"Majority of the cases of DiGeorge syndrome (DGS) are due to a 22q11.2 deletion. Conotruncal cardiac anomalies, hypoplastic thymus, hypocalcemia are the classic triad of features of DGS on presentation. Immunodeficiency is common and can range from recurrent sinopulmonary infections (partial DGS) to severe combined immunodeficiency (SCID; complete DGS). The severity of the immunodeficiency is associ - ated to the degree of thymic hypoplasia."
 Which of the following medical condition is an X-linked recessive disorder?,A. Familial hypercholesterolemia,B. V on Hippel-Lindau disease,C. Marfan’s syndrome,D. Wiskott-Aldrich syndrome,E. Albinism,60.0,D. Wiskott-Aldrich syndrome,"Wiskott-Aldrich syndrome is an X-linked recessive disorder with the triad of signs; eczema, thrombocytope - nia with bleeding tendencies and recurrent infections. The WAS has been localized to the proximal short arm of the chromosome (Xp11.22). There is a clinical onset frequently with eczema due to T cell defect in the first sixth months of life. There are recurrent pneumococcal infections."
" Cystic fibrosis (CF) is a multisystem disease affecting the lungs, digestive system, sweat glands, and reproduc - tive tract. Which chromosome encodes the cystic fibro - sis transmembrane conductance regulator (CFTR) protein?",A. 21,B. 3,C. 18,D. 7,E. X,61.0,D. 7,CF is a result of mutations in a single large gene on chromosome 7 that encodes the cystic fibrosis trans - membrane conductance regulator (CFTR) protein. Disease-  causing mutations in both copies of the CFTR gene results in clinical disease. Mutations of the CFTR gene have been divided into five different classes. Mutations in classes I to III cause more severe disease than those in classes IV and V .
" Clinical triad of chronic sinusitis, bronchiectasis, and situs inversus is found in which of the following condition?",A. Necrotizing pneumonias,B. Cystic fibrosis,C. Wegener’s granulomatosis,D. Kartagener’s syndrome,E. Asthma,62.0,D. Kartagener's syndrome,"Kartagener’s syndrome, an autosomal recessive inherited disorder, is a subset of primary ciliary dyskine - sia, and is characterized by the clinical triad of chronic sinusitis, bronchiectasis, and situs inversus. The main pathophysiologic problem is abnormal ciliary structure or function leading to impaired ciliary motility."
" Which of the following is a characteristic of hereditary disease with neurological (progressive cerebellar ataxia), telangiectasia, and immune deficiency causing frequent respiratory tract infections?",A. Friedreich disease,B. Metachromatic leukodystrophy,C. Ataxia telangiectasia,D. Krabbe disease,E. Gaucher disease,63.0,C. Ataxia telangiectasia,"Ataxia telangiectasia (Progressive Cerebellar Ataxia with Telangiectasia) is a characteristic hereditary syn - drome with neurological, cutaneous, and immune defi - ciency signs. Main signs are progressive cerebellar ataxia and telangiectasia. Telangiectasia occurs in the areas of the bulbar conjunctiva that are exposed to light and later on the lids in a butterfly distribution on and alongside of the nose. Immune deficiency causes fre - quent signs of respiratory tract infections. It is an autoso - mal recessive disorder. Patients have an increased risk of developing lymphoreticular malignancies."
 Which of the following inheritance pattern is most likely to be present in Peutz-Jeghers syndrome?,A. Autosomal dominant,B. Autosomal recessive,C. X-linked recessive,D. X-linked dominant,E. Multifactorial,64.0,A. Autosomal dominant,"Peutz-Jeghers Syndrome (PJS) is an autosomal disor - der of conspicuous pigmentation, predominantly of the face and oral mucosa, associated with hamartomatous polyposis of the gastrointestinal tract. Main signs are dark, brown or bluish gray-black pigmented spots on the skin of the face, on the oral mucosa, extremities includ - ing the nail beds. PJS is an autosomal dominant disorder with almost 100% penetrance."
 Which of the following syndrome is due to deletion of paternal chromosomes 15?,A. Angelman syndrome,B. Fragile X syndrome,C. Marfan syndrome,D. Ehlers-Danlos syndrome,E. Prader–Willi syndrome,65.0,E. Prader–Willi syndrome,"Prader–Willi syndrome is a syndrome comprising of mental retardation, short stature, obesity, and hypogo - nadism, following initial marked muscular hypotonia in infancy. In 95 % of patients, it is due to loss of paternal alleles from the region 15q11-13. Common features are short stature, increasing obesity with hyperphagia, severe psychomotor retardation, hypogenitalism, scrotal hypoplasia, and frequent cryptorchidism. Prader–Willi syndrome is the most common syndromic form of obe - sity. Hypogonadism is present in both sexes."
