id,Question,A,B,C,D,E,F
Set_17: q17,A 54-year-old female presents with breast lump. Excisional biopsy is done which shows tumor cells in single lines (Indian filing). What is the diagnosis?,Infiltrating ductal carcinoma of the breast,Infiltrating lobular carcinoma of the breast,Ductal carcinoma in situ,Inflammatory carcinoma of the breast,Tubular carcinoma,
Set_17: q18,Which of the following breast carcinoma is estrogen receptor negative by immunohistochemistry?,Medullary carcinoma,"Ductal carcinoma, low grade",Lobular carcinoma in situ (LCIS),Colloid carcinoma,Tubular carcinoma,
Set_17: q19,Which of the following is NOT a risk factor for breast cancer?,Age,Age at menarche,Overweight,Race,Second degree relatives with breast cancer,
Set_17: q20,"A 30-year-old female presents for evaluation of a breast mass. On physical examination, there is a small non - tender nodule in the right breast. Imaging studies reveal 17 Breast 137 ill-defined mass with calcifications. Biopsy is performed and shows foamy histiocytes and multinucleated giant cells. What is the diagnosis?",Atypical ductal hyperplasia,Fat necrosis of the breast,Infiltrating carcinoma of the breast,Ductal carcinoma in situ,Usual epithelial hyperplasia,
Set_17: q21,What is the most common organism which causes acute mastitis?,Staphylococcus aureus,Pseudomonas aeruginosa,Escherichia coli,Streptococcus pyogenes,Proteus vulgaris,
Set_17: q22,Fibrocystic changes most often involve which quadrant of the breast?,Upper outer quadrant,Upper inner quadrant,Lower outer quadrant,Lower inner quadrant,Upper inner and lower inner quadrants,
Set_18: q1,Autoimmune adrenalitis,Meningococcal septicemia,Malignancy,Tuberculosis,Adrenal cortical adenoma,,
Set_18: q2,Spontaneous regression of tumor is seen is:,Follicular adenoma of thyroid,Neuroblastoma,Acute monocytic leukemia,Hepatoblastoma,Pheochromocytoma,
Set_18: q3,Which is the best confirmatory diagnosis for Cushing disease?,Adrenocorticotropic hormone (ACTH) level,Vitamin D and calcium level,High dose dexamethasone suppression,Metyrapone stimulation test,Low dose dexamethasone suppression,
Set_18: q4,"A 40-year-old woman presents with round moon face dorsal buffalo hump, hypertension, and weight gain. There is also truncal obesity. What is the diagnosis?",Sipple’s syndrome,Cushing’s syndrome,Addison disease,Conn’s syndrome,Cushing disease,
Set_18: q5,"A 39-year-old female presents with headaches, bitempo - ral hemianopsia, menstrual irregularities, and infertility. What is the diagnosis?",Adrenal cortical adenoma,Adrenal cortical hyperplasia,Pheochromocytoma,Pituitary adenoma,Addison’s disease,
Set_18: q6,MEN2A syndrome is associated with which of the fol - lowing conditions?,Medullary thyroid cancer (MTC) and parathyroid tumors,"Medullary thyroid cancer, pheochromocytoma, and primary hyperparathyroidism","Parathyroid tumors, and pheochromocytoma","Pheochromocytoma, and primary hyperparathyroidism",Medullary thyroid cancer and pheochromocytoma,
Set_18: q7,Diagram of a female patient aged 35  years is shown below. What is the diagnosis?,Hypothyroidism,Graves’ disease,Toxic nodular goiter,Painless and postpartum thyroiditis,Gestational hyperthyroidism,
Set_18: q8,"A 16-year-old girl develops cold intolerance, progres - sive weakness and myxedema for the last 7 years. Serum TSH is 10 mU/mL. The most likely cause is",Graves’ disease,De Qurvain’s thyroiditis  144,Hashimoto’s thyroiditis,Endemic iodine deficiency,Toxic multinodular goiter,
Set_18: q9,Which of the following is the most common type of thy - roid carcinoma?,Follicular carcinoma of thyroid,Poorly differentiated carcinoma of thyroid,Anaplastic carcinoma of thyroid,Medullary carcinoma of thyroid,Papillary carcinoma of thyroid,
Set_18: q10,A 51-year-old man presents to the emergency room in congestive heart failure. His past medical history is sig - nificant for intermittent hypertensive attacks precipitated by emotional stress. Physical exam reveals an abdominal mass. Surgery is done. A right retroperitoneal mass is removed and H&E microscopic picture is shown below. The most likely diagnosis is:,Renal cell carcinoma,Malignant fibrous histiocytoma,Neuroblastoma,Neurofibroma,Pheochromocytoma,
Set_18: q11,"Which of the following presents in the form of septice - mic shock with sudden vascular collapse, DIC, and adre - nal hemorrhage?",Waterhouse–Friderichsen syndrome,Adrenal crisis,Adrenal incidentaloma,Pheochromocytoma,Acute abdomen,
Set_18: q12,"A 35-year-old female comes to the office with the pain in the front of the neck. Physical examination shows ten - der, firm, enlarged thyroid gland. These symptoms are preceded by a viral illness. What is the diagnosis?",Riedel thyroiditis,Subacute thyroiditis,Hashimoto’s thyroiditis,Graves disease,Thyroid lymphoma,
Set_18: q13,"A 47-year-old male patient comes to the physician office with symptoms of high blood pressure. Laboratory investigations reveal hypokalemia, elevated aldosterone, and decreased renin. What is the diagnosis?",Adrenal carcinoma,Bartter syndrome,Adrenogenital syndrome,Conn’s syndrome,Iatrogenic Cushing syndrome,
Set_18: q14,"One month newborn male infant is brought to the pedia - trician office by his mother with symptoms of poor feed - ing, very little crying, thickened facial features. What is the diagnosis?",Beckwith–Wiedemann syndrome,Congenital hypothyroidism (cretinism),Panhypopituitarism,Hyperthyroidism,Perlman syndrome,
Set_18: q15,"A middle aged female comes to the physician office with features of palpitations, nervousness, diaphoresis, heat intolerance, weakness, tremors, diarrhea, weight loss despite a good appetite. Laboratory investigations show elevated free T4 and decreased TSH.  What is the diagnosis?",Multinodular goiter,Hyperthyroidism,Hypothyroidism,Papillary thyroid carcinoma,Pheochromocytoma,
Set_18: q16,"A 4-year-old male presents with symptoms of viriliza - tion including pubic hair, growth spurt, adult body odor. Laboratory findings show elevated serum concentration of 17-hydroxyprogesterone. What is the diagnosis?",Adrenal hypoplasia,Androgen insensitivity syndrome,Denys–Drash syndrome,Congenital adrenal hyperplasia,Pseudohypoparathyroidism,
Set_18: q17,"Chronic renal failure, vitamin D deficiency, and malab - sorption are characteristics of which of the following medical conditions?",Secondary hyperparathyroidism,Riedel thyroiditis,Papillary carcinoma,Hashimoto’s thyroiditis,Graves’ disease,
Set_18: q18,A 42-year-old female has stridor and dysphagia due to a slowly enlarging neck mass. She is found to be hypocal - cemic preoperatively. What is the diagnosis?,Radiation thyroiditis,Hashimoto’s thyroiditis,Thyroid lymphoma18 Endocrine System 145,Thyroid agenesis,Riedel thyroiditis,
Set_18: q19,Hypoglycemia with elevated insulin and low C-peptide levels suggests:,Exogenous insulin administration,Insulin secreting tumor,Glucagonoma,Somatostatinoma,Chronic pancreatitis,
Set_18: q20,"Decreased luteinizing hormone (LH), follicle stimulat - ing hormone (FSH), and estradiol are found in which of the medical condition?",Celiac disease (Sprue),Anorexia nervosa,Hypothyroidism,Irritable bowel syndrome (IBS),Hyperthyroidism,
Set_18: q21,Which of the following profile is associated with pri - mary hyperparathyroidism?,Increased levels of ionized calcium and decreased levels of PTH,Decreased levels of ionized calcium and decreased levels of parathyroid stimulating hormone (PTH),Increased levels of ionized calcium and increased levels of parathyroid stimulating hormone (PTH),Decreased levels of ionized calcium and increased levels of PTH,Anyone of the above with primary hypocalcemia,
Set_18: q22,A 60-year-old female has a serum calcium of 12  mg/ dL.  Neck exploration demonstrates three enlarged glands. What is the diagnosis?,Parathyroid adenoma,Parathyroid hyperplasia,Parathyroid carcinoma,Wermer’s syndrome,Sipple’s syndrome,
Set_19: q1,Spitz nevus,Melanocytic nevus,Congenital nevus,Dysplastic nevus,Melanoma,,
Set_19: q2,A 6-year-old male child is brought to the pediatrician office with symptoms of severe pruritus on the sides and webs of the fingers. Pruritus is worse at night. What is the diagnosis?,Allergic contact dermatitis,Atopic dermatitis,Irritant contact dermatitis,Scabies,Pediatric atopic dermatitis,
Set_19: q3,Characteristic racquet-shaped intracytoplasmic granules known as Birbeck granules are seen in which of the fol - lowing cells?,Epithelioid,Melanocytes,Langerhans cells,Monocytes,Markel cells,
Set_19: q4,A 10-year-old male presents with irregular completely depigmented patches. Biopsy is done and the micro - scopic picture of affected areas are devoid of melano - cytes. What is the diagnosis?,Melasma,Vitiligo,Freckles (ephelides),Benign lentigo,Congenital nevus,
Set_19: q5,Which of the following skin condition is associated with internal malignancy?,Seborrheic keratoses,Acanthosis nigricans,Psoriasis,Dysplastic nevi,Nevocellular nevus,
Set_19: q6,"Characteristic skin lesions pruritic, purple/pink, polygo - nal papules, and plaques are found in which of the fol - lowing skin condition?",Lichen nitidus,Pityriasis rosea,Lichen planus,Plaque psoriasis,Tinea corporis,
Set_19: q7,What is Mycosis fungoides?,Cutaneous B-cell lymphoma,Cutaneous T-cell lymphoma,Proliferation of Langerhans cells,Benign squamoproliferative neoplasm,Benign tumor of melanocytes,
Set_19: q8,"A middle aged woman presents with well-demarcated erythematous plaques with a silvery scale on knees, elbows, and scalp. Nail beds show pitting and discolor - ation. What is the diagnosis?",Acanthosis nigricans,Seborrheic keratoses,Psoriasis,Histiocytosis X,Mycosis fungoides,
Set_19: q9,Which of the following is precursor lesion of squamous cell carcinoma?,Acanthosis nigricans,Seborrheic keratoses,Histiocytosis X,Mycosis fungoides,Actinic keratosis  150,
Set_19: q10,"An elderly man presents with skin blisters on his trunk and groin. Skin biopsy is done and microscopic pic - ture shows papillary dermal edema, epidermal split, perivascular lymphohistiocytic infiltrate accompanied by conspicuous eosinophils. What is the diagnosis?",Pemphigus vulgaris,Bullous pemphigoid,Porphyria cutanea tarda,Drug-induced bullous disorders,Contact dermatitis,
Set_19: q11,A middle aged man comes to the office with red skin lesions as shown in the photograph. What is the diagnosis?,"Angiokeratoma (especially on genitals [scrotal, vulvar])",Lobular capillary angioma,Nodular melanoma,Metastatic carcinoma,Cherry angioma,
Set_19: q12,"A 58-year-old male presents with an asymmetric, irregu - lar border, variegated color, large diameter, enlarging nodule on the face for the last 6  months. What is the diagnosis?",Squamous cell carcinoma,Malignant melanoma,Basal cell carcinoma,Seborrheic keratosis,Acanthosis nigricans,
Set_19: q13,Bullous impetigo is a superficial infection caused by which organism?,Proteus vulgaris,Staphylococcus aureus,Pseudomonas aeruginosa,Staphylococcus viridans,Campylobacter jejuni,
Set_19: q14,A 55-year-old man presents with pearly papules on the right side of the nose. Biopsy is done and microscopic findings show invasive nests of basaloid cells with a pali - sading growth pattern. What is the diagnosis?,Squamous cell carcinoma,Basal cell carcinoma,Actinic keratosis,Bowen disease,Malignant melanoma,
Set_19: q15,Excessive tissue response to dermal injury characterized by local fibroblast proliferation and overproduction of collagen is known as?,Keloid,Nodular scleroderma,Dermatofibrosarcoma protuberans,Giant cell fibroblastoma,Squamous cell carcinoma,
Set_19: q16,A patient with gluten intolerance complains of an itchy vesicular eruption on the back. A skin biopsy shows microabscess within the tips of the dermal papillae. Direct immunofluorescence demonstrates IgA deposi - tion at the tips of dermal papillae. Which of the follow - ing is the most likely diagnosis?,Epidermolysis bullosa,Pemphigus vulgaris,Bullous pemphigoid,Porphyria cutanea tarda,Dermatitis herpetiformis,
Set_19: q17,"A 55-year-old man comes to the physician office with a tan and brown, round lesion with a well-demarcated bor - der and stuck-on appearance. Microscopic examination shows small cells resembling basal cells, with pigmenta - tion, hyperkeratosis, and keratin-containing cysts. What is the diagnosis?",Verruca vulgaris,Seborrheic keratosis,Melanocytic nevi,Squamous cell carcinoma,Melanoma,
Set_19: q18,Which of the following morphologic changes is most consistent with allergic rather than irritant contact dermatitis?,Lymphocytic exocytosis,Papillary dermal edema,Eosinophilic infiltration,Perivascular lymphocytes,Spongiosis,
Set_19: q19,Which of the following bullous diseases is pathogeneti - cally related to autoantibodies against antigens of epi - dermal intercellular junctions?,Pemphigus vulgaris,Bullous pemphigoid,Dermatitis herpetiformis,Erythema multiforme,Pemphigus foliaceus,
Set_19: q20,A 28-year-old male presents with a rash on his lower extremities. Physical examination shows multiple macu - lar lesions with a red-blue discoloration. Biopsy shows 19 Skin Disorders 151 proliferation of thin walled angulated vessels and hemo - siderin deposits throughout the dermis. What is the diagnosis?,Spindle cells hemangioendothelioma,Angiosarcoma,Bacillary angiomatosis,Kaposi sarcoma,Microvenular hemangioma,
Set_19: q21,A 52-year-old male presents with a mass in the scalp for the last 6 months. Mass is dome shaped nodule with a smooth surface. Biopsy is done and the microscopic pic - ture shows aggregates of basaloid cells that looks like a jigsaw puzzle. What is the diagnosis?,Squamous cell carcinoma,Cylindroma,Basal cell carcinoma,Trichoepithelioma,Nodular melanoma,
Set_19: q22,A 42-year-old sexually active man undergoes biopsy which shows changes of subacute spongiotic dermatitis. The clinical diagnosis is pityriasis rosea. Which of the following features would favor a diagnosis of syphilis over that of pityriasis rosea?,Parakeratosis,Plasma cell infiltration,Hyperkeratosis,Parivascular lymphocytosis,Spongiosis,
Set_20: q1,Osteoblastoma,Osteosarcoma,Osteoid osteoma,Chondroblastoma,Chondrosarcoma,,
Set_20: q2,Tophus is the pathognomonic lesion of which of the fol - lowing conditions?,Multiple myeloma,Cystinosis,Gout,Eale’s disease,Rheumatoid arthritis,
Set_20: q3,H&E microscopic picture of bone tumor of distal femur of 35-year-old female is shown below. What is the diagnosis?,Osteoblastoma,Giant cell tumor of bone.,Osteogenic sarcoma,Adamantinoma,Chondroid chordoma,
Set_20: q4,A 22-year-old male presents with back pain. The pain is not relieved by over the counter anti-inflammatory agents. There is no history of trauma or any weakness in extremi - ties. Laboratory studies are unremarkable. An X-ray of spine shows lytic expansile lesion with cortical thinning at L4 vertebra measuring 1.5 cm. Patient undergoes surgi - cal resection of the lesion. Microscopic pictures with H&E stain are shown below. What is the diagnosis?  158,Chondrosarcoma,Benign fibrous histiocytoma,Hemangioma,Osteoblastoma,Giant cell tumor of bone,
Set_20: q5,What is the characteristic radiographic finding of Ewing sarcoma?,Onion peel appearance,Lytic lesions,Sunburst appearance,Moth eaten appearance,Soap bubble appearance,
Set_20: q6,A 30-year-old woman comes to the office with symptoms of right hip pain. She is a patient of sickle cell disease. Which of the following is the cause of patient’s pain?,Rheumatoid arthritis,Osteoarthritis,Osteoporosis,Avascular necrosis,Septic arthritis,
Set_20: q7,"A 18-year-old male teenager comes to the physician office with clinical features of localized pain and swelling around the knee. X-ray findings show Codman’s triangle (periosteal elevation), sunburst pattern, and bone destruc - tion. What is the diagnosis?",Ewing sarcoma,Giant cell tumor of bone,Osteosarcoma,Osteoblastoma,Rhabdomyosarcoma,
Set_20: q8,What are the laboratory findings in Paget disease of bone? Calcium Phosphorus,Increased Normal Normal,Normal Normal Increased,Normal Decreased Increased,Decreased Decreased Increased,Normal Normal NormalAlkaline phosphatase,
Set_20: q9,"A 45-year-old male comes to the physician office with clinical presentation of enlarging mass with pain and swelling of the right shoulder girdle. Biopsy of the mass is done. Microscopic findings show atypical chondro -cytes and chondroblasts, often with multiple nuclei in a lacuna. What is the diagnosis?",Osteoclastoma,Chondrosarcoma,Chondroblastoma,Chondromyxoid fibroma,Fibrosarcoma,
Set_20: q10,Microscopic picture of a 16-year-old male teenager is shown below. What is the diagnosis?,Chondrosarcoma,Osteosarcoma,Ewing sarcoma,Rhabdomyosarcoma,Osteoblastoma,
Set_20: q11,"Swan neck deformity in a 65-year-old arthritis patient is shown below. What is the diagnosis? 20 Bones, Joints, and Soft Tissue Disorders 159",Rheumatoid arthritis,Osteoarthritis,Ankylosing spondylitis,Viral polyarthritis,Psoriatic arthritis,
Set_20: q12,Microscopic pictures of a bone tumor in a male teenager with swelling around the knee are shown below. What is the diagnosis?,Chondrosarcoma,Histiocytosis,Osteosarcoma,Nonrhabdomyosarcoma soft tissue sarcomas,Osteoclastoma,
Set_20: q13,A 42-year-old woman presented with history of asymp - tomatic progressive nodular lesion over abdomen since 8  years. An incisional biopsy was performed. H&E microscopic picture showing spindle shaped tumor cells arranged in storiform pattern in the dermis is shown below. What is the diagnosis?,Dermal fibrous histiocytoma,Myxoid liposarcoma,Dermatofibrosarcoma protuberans,Plexiform fibrohistiocytic tumor,Fibrosarcoma,
Set_20: q14,Trabecular bone loss is seen in which of the following condition?,Osteomalacia,Osteoporosis,Hyperparathyroidism,Mastocytosis,Paget Disease,
Set_20: q15,A soft tumor is excised from a 40-year-old woman. Microscopic examination shows nests of polygonal cells with abundant cytoplasm separated by fibrovascular tis - sue. What is the diagnosis?,Alveolar rhabdomyosarcoma,Metastatic carcinoma,Metastatic melanoma,Alveolar soft part sarcoma,Paraganglioma,
Set_20: q16,Which of the following organism that commonly causes pyogenic osteomyelitis?,Escherichia coli,Streptococci,Staphylococcus aureus,Gonococci,Haemophilus influenzae,
Set_20: q17,"A 42-year-old woman presents with a small axillary mass. She had the mass for the last several years without any change. On physical examination, 4 cm mass is seen which is soft, nontender and freely mobile. Excisional biopsy is done and microscopic picture is shown below. What is the diagnosis? Multiple Choice Questions 160",Hibernoma,Lipoma,Sebaceous cyst,Atypical lipomatous tumor,Liposarcoma,
Set_20: q18,"A 66-year-old male presents with a painless, enlarging mass on the left thigh. Physical examination shows a soft, nontender mass on the anterior left thigh. MRI shows a fatty, soft tissue mass with lobulated margins. Surgical resection is done and microscopic pictures are shown below. What is the diagnosis?",Liposarcoma,Leiomyosarcoma,Rhabdomyosarcoma,Fibrous histiocytoma,Solitary fibrous tumor,
Set_20: q19,"A 29-year-old presents with a painless, sternal mass. H&E photomicrograph is shown below. Which of the following is the most likely diagnosis?",Rhabdomyoma,Lipoma,Angiolipoma,Fibroma,Hibernoma,
Set_20: q20,Radiograph of the skull with punched out radiolucent lesions are seen. What is the diagnosis? Punched out lesions,"Primary (malignant) lymphoma of bone20 Bones, Joints, and Soft Tissue Disorders 161",Multiple myeloma,Metastatic bone disease,Monoclonal gammopathies of undetermined significance,Waldenstrom macroglobulinemia,
Set_20: q21,Photographs with symmetric bowing of the femurs and tibias are shown below. What is the diagnosis?,Hypophosphatasia,Metaphyseal dysostosis,Rickets,Blount syndrome,Fanconi syndrome,
Set_20: q22,Which of the following diseases is because of type-I col - lagen defect?,Rickets,Osteopetrosis,Osteogenesis imperfecta,Osteomalacia,Wilson disease,
Set_20: q23,A 32-year-old male presents with a slow growing maxil - lary mass. Excisional biopsy is done by an oral surgeon. H&E photomicrograph is shown below. What is the diagnosis?,Calcifying aponeurotic fibroma,Osteofibrous osteosarcoma,Fibrous dysplasia,Fibroblastic osteosarcoma,Dermatofibrosarcoma protuberans,
Set_20: q24,A 24-year-old male presents to his physician office with a large mass in his left thigh. Wide surgical excision is done. Microscopic pictures are shown below. What is the diagnosis?,Leiomyosarcoma,Desmoid tumor,Myxoid liposarcoma,Dermatofibroma,Nodular fasciitis,
Set_20: q25,"A 29-year-old male presents with pain and swelling of his left knee for 10 months. Physical examination, plain radiographs, and laboratory studies are unremarkable. CT reveals an enhancing soft tissue mass of heteroge - neous density. What is the diagnosis?",Synovial sarcoma,Ewing sarcoma,Myxoid chondrosarcoma,Clear cell sarcoma,Rhabdomyosarcoma.,
Set_20: q26,A 39-year-old man presents with a small nodule of 4 cm on the right forearm. The nodule has grown rapidly over the last 3  weeks. Excision of the nodule is done and H&E photomicrograph is shown below. Which of the following is the most likely diagnosis? Multiple Choice Questions 162,Solitary fibrous tumor,Neurofibroma,Nodular fasciitis,Keloid scar,Fibrosarcoma,
Set_20: q27,A 26-year-old male presents with right knee pain. The pain has worsened since an injury to the right knee 2 months back while playing football. X-ray shows well circumscribed lesion on the epiphyseal plate of the right knee. The biopsy is shown below. What is the diagnosis?,Osteochondroma,Chondromyxoid fibroma,Chondrosarcoma,Osteoblastoma,Chondroblastoma.,
Set_20: q28,"A 40-year-old patient comes to the physician office with symptoms of pain in the spine, fever, night sweats, and weight loss. On physical examination, there is spinal tenderness upon palpation of the thora - columbar junction. A biopsy of lumbar vertebra (L1) is done. H&E microscopic findings are shown below. What is the diagnosis?",Pyogenic osteomyelitis,Spinal cord abscess,Spinal tumor,Tuberculous osteomyelitis,Multiple myeloma,
Set_20: q29,Heberden’s nodes and Bouchard’s nodes are found in which of the following bone disease?,Rheumatoid arthritis,Osteoarthritis,Ankylosing spondylitis,Psoriatic arthritis,Gout,
Set_20: q30,Deposition of calcium pyrophosphate crystals are found in which of the following bone diseases?,Pseudogout,Gout,Lyme disease,Ankylosing spondylitis,Psoriatic arthritis,
Set_21: q1,Becker muscular dystrophy,Guillain–Barre syndrome,Duchenne muscular dystrophy,Inflammatory myopathies,Dermatomyositis,,
Set_21: q2,"A 35-year-old woman present with muscular weakness affecting the facial muscles, ptosis, and diplopia. Laboratory findings show autoantibodies against the ace - tylcholine (ACh) receptors. What is the diagnosis?",Eaton–Lambert syndrome,Myasthenia gravis,Botulism,Basilar artery thrombosis,Cavernous sinus syndrome,
Set_21: q3,A 42-year-old man presents with muscular weakness with an ascending paralysis. He had a viral illness for the last 10  days. Physical examination shows loss of deep tendon reflexes. A lumbar puncture is done and CSF con - tains increased levels of protein with minimal cellular reaction. What is the diagnosis?,Transverse myelitis,Chronic inflammatory demyelinating polyneuropathy,Guillain–Barre syndrome,Vascular injury,Conversion disorder,
Set_21: q4,"A 22-year-old male presents with muscle weakness, which is most pronounced in the proximal muscles. Deltoid muscle biopsy is done and staining of the biopsy shows dystrophin is present, but in an abnormal form. What is the diagnosis?",Amyotrophic lateral sclerosis,Becker muscular dystrophy,Myasthenia gravis,Polymyositis,Duchenne muscular dystrophy,
Set_21: q5,"A 49-year-old woman presents with symptoms of bilat - eral proximal muscle weakness, skin rash of the upper eyelids, periorbital edema, and inflamed muscles. Muscle biopsy shows perimysial and vascular lymphocytic inflammation, perifascicular fiber atrophy. What is the diagnosis?",Polymyositis,Dermatomyositis,Inclusion body myositis,Myasthenia gravis,Eaton–Lambert syndrome,
Set_21: q6,"A 39-year-old woman comes to the physician office with clinical feature of flat, light brown spots on the skin, freckling in the armpits or groin area, tiny bumps on the iris of the eye and soft, pea-sized bumps on or under the skin. What is the diagnosis?",Neurofibromatosis type 2 (NF-2),Neurofibromatosis type 1 (NF-1),Schwannomatosis,McCune–Albright syndrome,Sturge–Weber syndrome,
Set_21: q7,"A 57-year-old male presents with difficulty in carrying out daily activities, including walking. There is weakness in the feet, hands, legs, and ankles. Patient is wheelchair bound. Biopsy of one of the muscles of the thigh shows only atrophy of the myofibers. What is the diagnosis?",Paraneoplastic neuropathy,Multifocal acquired demyelinating neuropathy,Monoclonal gammopathies,Spinal cord arteriovenous malformation,Amyotrophic lateral sclerosis,
Set_21: q8,"A 54-year-old female presents with bilateral proximal muscle weakness. Biopsy of one of the muscles is done and microscopic findings show endomysial lymphocytic inflammation, skeletal muscle fiber degeneration and regeneration. What is the diagnosis?  170",Polymyositis,Myasthenia gravis,Diabetic polyradiculopathy,Eosinophilic myositis,Myositis ossificans,
Set_21: q9,A 65-year-old man with the diagnosis of small cell lung carcinoma comes to the physician office with proximal muscular weakness. What is the diagnosis?,Dermatomyositis,Amyotrophic lateral sclerosis,Inclusion body myositis,Multiple sclerosis,Lambert–Eaton syndrome,
Set_21: q10,Which of the following is a form of compressive neu - ropathy in which plantar nerve is trapped between meta - tarsal heads?,Stress fracture,Tendon sheath ganglion,Morton neuroma,Strain of the plantar capsule,Nerve-sheath tumor,
Set_21: q11,Which of the following medical conditions result from entrapment of the medial nerve beneath the flexor reti - naculum at the wrist?,Acute compartment syndrome,Diabetic neuropathy,Multiple sclerosis,Carpal tunnel syndrome (CTS),Syringomyelia,
Set_21: q12,Which of the following medical condition is seen in patients with immunological diseases?,Cervical myelopathy,Chronic inflammatory demyelinating polyneuropa - thy (CIDP),Diabetic neuropathy,Charcot–Marie-Tooth disease,Lambert–Eaton myasthenic syndrome,
Set_21: q13,Which of the following drug is responsible for causing myopathy with creatine kinase level more than ten times normal?,Carbamazepine,Gabapentin,Oxcarbazepine,Lovastatin,Pregabalin,
Set_21: q14,Which of the following medical condition is consistent with sensory neuropathy?,Chronic pancreatitis,Diabetes mellitus,Cystic fibrosis,Prader–Willi syndrome,Multiple sclerosis,
Set_21: q15,Which of the following disease is a form of spinal mus - cular atrophy resulting from loss of motor neurons in infancy?,Transverse myelitis,Werdnig–Hoffmann disease,Muscular dystrophy,Polymyositis,Inflammatory myopathy,
Set_21: q16,Which of the following is a congenital myopathy that is present in childhood and may be nonprogressive or slowly progressive?,Metabolic myopathies,Spinal muscular atrophy,Nemaline rod myopathy,Amyotrophic lateral sclerosis.,Polymyositis,
Set_21: q17,Deficiency of lysosomal acid alpha-glucosidase causes which of the following disease?,Myotonic dystrophy,Pompe disease,McArdle disease,Spinal muscular atrophy,Mitochondrial myopathy,
Set_21: q18,Which of the following autosomal recessive condition results from the deficiency in muscle phosphorylase and does not produce progressive weakness?,McArdle disease,Spinal muscular atrophy,Mitochondrial myopathy,Becker muscular dystrophy,Amyotrophic lateral sclerosis,
Set_21: q19,"In which disease, type II muscle fiber atrophy can occur with glucocorticoid excess?",Myasthenia gravis,Cushing’s syndrome,Amyotrophic lateral sclerosis,Mitochondrial myopathy,Diabetes mellitus,
Set_21: q20,Which of the virus after infection becomes dormant in dorsal root ganglia?,Varicella Zoster virus,Epstein–Barr virus,Rhinovirus,Adenovirus,Cytomegalovirus,
Set_22: q1,Astrocytoma,Ependymoma,Meningioma,Schwannoma,Medulloblastoma,,
Set_22: q2,A 45-year-old woman presents with unilateral headache. CT scan shows a mass which is surgically removed. Microscopic examination shows cellular whorls and psammoma bodies. What is the diagnosis?,Hemangioblastoma,Ependymoma,Meningioma,Glioblastoma,Medulloblastoma,
Set_22: q3,"A 9-year-old boy presents with symptoms of headaches, nausea, vomiting, double vision, and unsteady walk. CT scan head shows mass in a cerebellar vermis and dilation of the cerebral ventricles. Biopsy of the mass is done and microscopic finding shows dark staining tumor cells with round nuclei. What is the diagnosis?",Ependymoma,Meningioma,Medulloblastoma,Craniopharyngioma,Oligodendroglioma,
Set_22: q4,A 34-year-old man presents with headaches and focal sei - zures. MRI of the brain shows a ring-enhancing mass in the right cerebral hemisphere. H&E picture is shown below. What is the diagnosis?,Echinococcosis,Encysted taenia solium larva,Coenurosis,Tuberculoma,Toxoplasmosis,
Set_22: q5,Which genetic abnormalities is commonly seen in meningiomas?,Chromosome 10p13-p14 deletion,TBX1 gene mutation,p53 mutations,Estrogen receptor mutations,Deletions on chromosome 22,
Set_22: q6,Which of the following virus is present in hippocampal pyramidal neurons as eosinophilic cytoplasmic inclusions?,Rabies virus,Enteroviruses,Coxsackieviruses  176,Herpes simplex virus,Echoviruses,
Set_22: q7,Which is the best answer regarding hemorrhage in the subependymal germinal plate next to the lateral ventricles in premature babies?,34 weeks gestation,28 weeks gestation,38 weeks gestation,40 weeks gestation,44 weeks gestation,
Set_22: q8,"A middle-aged woman presents with involuntary, jerky movements of the face, and extremities. Her husband also complains that the patient is also having behavioral abnormalities including aggressiveness and depression. There is also history of dementia. Which of the following neuroimaging findings is most likely to be seen in this patient?",Atrophy of caudate nucleus,Atrophy of putamen,Atrophy of caudate and putamen,Neurofibrillary tangles,Atrophy of cingulate gyrus,
Set_22: q9,"A patient develops flu-like signs and symptoms, fever, and headache and he is diagnosed as viral encephalitis. What are the histological features characteristics of viral encephalitis?",Intranuclear and cytoplasmic inclusions,Inflammation of brains by neutrophils,Lymphocytes and macrophages around blood vessels,Microglial nodules and neuronophagia,"Myelin loss, gliosis and neutrophilic inflammation",
Set_22: q10,Subependymal giant cell astrocytomas (SEGA) are associated with which of the following underlying conditions?,West syndrome,Neurofibromatosis 1 (NF1),V on Hippel–Lindau disease,Tuberous sclerosis,Lennox–Gastaut syndrome,
Set_22: q11,"A 62-year-old woman presents with sudden onset of headache, cognitive symptoms, dementia, and problems with the vision. Computed tomography (CT) is done and a biopsy is also performed. Biopsy of brain shows eosin - ophilic structure. What is the diagnosis?",Frontal lobe syndromes,Frontal and temporal lobe dementia,Intracranial hemorrhage,Multiple cavernoma syndrome,Cerebral amyloid angiopathy (CAA),
Set_22: q12,Rapid correction of chronic hyponatremia may lead to which of the following conditions?,Neuromyelitis optica spectrum disorder,Multiple sclerosis,Transverse myelitis,Osmotic demyelination syndrome,Metabolic disorder,
